,videoid,publishedAt,thumbnail_url,hashtags,viewCount,commentCount
372,Y3mv-TKt-lM,2020-04-15T16:15:37Z,https://i.ytimg.com/vi/Y3mv-TKt-lM/hqdefault.jpg,"{'#saiMauianaSaad', '#JailMaulanaSaad'}",26166,78
373,pE8QQAKXm70,2020-07-28T18:38:19Z,https://i.ytimg.com/vi/pE8QQAKXm70/hqdefault.jpg,"{'#NationWantsSushantTruth', '#NationWantsSushanttruth'}",534687,4584
374,ehOIlD1V_HA,2021-06-22T18:27:01Z,https://i.ytimg.com/vi/ehOIlD1V_HA/hqdefault.jpg,{'#AntiModiGroup'},48532,225
375,OKCdqvd5rbA,2020-10-12T16:36:31Z,https://i.ytimg.com/vi/OKCdqvd5rbA/hqdefault.jpg,{'#FarooqQuitindia'},59207,213
376,g9IL8lRkLe8,2021-11-30T17:49:47Z,https://i.ytimg.com/vi/g9IL8lRkLe8/hqdefault.jpg,{'#VazeParamMeet'},27771,166
377,pkaMOIEiFtc,2020-03-12T18:44:49Z,https://i.ytimg.com/vi/pkaMOIEiFtc/hqdefault.jpg,{'#CongAdmitsCAALie'},104273,394
378,zZgB71lmiok,2019-12-04T07:02:56Z,https://i.ytimg.com/vi/zZgB71lmiok/hqdefault.jpg,{'#JusticeForDisha'},69695,305
379,PQCzxkOBv7Y,2020-04-06T16:48:24Z,https://i.ytimg.com/vi/PQCzxkOBv7Y/hqdefault.jpg,"{'#TablighisinHiding', '#Tablighisinfiding'}",31793,164
380,IXhbP-EuoWI,2020-09-06T08:55:37Z,https://i.ytimg.com/vi/IXhbP-EuoWI/hqdefault.jpg,{'#PlatformsCantBlock'},72426,133
381,m-esxTGYZK0,2021-11-02T18:07:23Z,https://i.ytimg.com/vi/m-esxTGYZK0/hqdefault.jpg,{'#WhatsGoingOn'},90670,344
382,BFsqp-tifGM,2021-09-03T18:43:29Z,https://i.ytimg.com/vi/BFsqp-tifGM/hqdefault.jpg,"{'#l', '#UniteAgainstTaliban'}",36177,231
383,3M9ArNJBJgU,2022-02-03T19:00:19Z,https://i.ytimg.com/vi/3M9ArNJBJgU/hqdefault.jpg,{'#TRPHoaxExposed'},26188,155
384,el5zezn3tM8,2020-03-18T18:34:21Z,https://i.ytimg.com/vi/el5zezn3tM8/hqdefault.jpg,{'#OurHealthVsShaheenBagh'},22148,306
385,NUjDbQwZNLk,2020-03-24T18:58:26Z,https://i.ytimg.com/vi/NUjDbQwZNLk/hqdefault.jpg,{'#FlattenTheCurve'},43353,109
386,t5bSGHuM73I,2020-11-01T13:53:10Z,https://i.ytimg.com/vi/t5bSGHuM73I/hqdefault.jpg,"{'#Repul', '#RepublicVsLobbies'}",336634,1055
387,MceXEe6b8os,2020-10-08T18:47:37Z,https://i.ytimg.com/vi/MceXEe6b8os/hqdefault.jpg,{'#HathrasManipulation'},82351,705
388,pyWD-5aDylk,2020-05-05T17:51:26Z,https://i.ytimg.com/vi/pyWD-5aDylk/hqdefault.jpg,{'#RahulBacksPakLie'},155689,1008
389,xx8rpvQnIpw,2021-07-02T19:36:55Z,https://i.ytimg.com/vi/xx8rpvQnIpw/hqdefault.jpg,{'#NYTimesExposed'},33204,281
390,aby7ry-1e2w,2020-11-26T17:46:52Z,https://i.ytimg.com/vi/aby7ry-1e2w/hqdefault.jpg,{'#NoCompromiseOntferror'},27736,151
391,XSUE0q-hdbM,2020-02-27T16:35:30Z,https://i.ytimg.com/vi/XSUE0q-hdbM/hqdefault.jpg,{'#ArrestTahirHussain'},34329,54
392,ybx9lR_aPPk,2021-09-15T18:11:49Z,https://i.ytimg.com/vi/ybx9lR_aPPk/hqdefault.jpg,{'#TalibanSplit'},79244,419
393,WCEljlVREvs,2020-05-11T19:11:36Z,https://i.ytimg.com/vi/WCEljlVREvs/hqdefault.jpg,{'#IndiaAgainstLobby'},115245,581
394,i2_SPDQ68XI,2022-11-04T19:08:35Z,https://i.ytimg.com/vi/i2_SPDQ68XI/hqdefault.jpg,{'#WakeUpMann'},1743,10
