Name,Political party,href,True,Mostly True,Half True,Mostly False,False,Pants on Fire
Rick Allen,Republican,https://www.politifact.com/personalities/rick-allen/,0,0,0,0,1,0
Diane Allen,Republican,https://www.politifact.com/personalities/diane-allen/,0,0,0,0,1,0
Allen Alley,Republican,https://www.politifact.com/personalities/allen-alley/,0,1,0,0,0,0
 Alliance Defending Freedom,None,https://www.politifact.com/personalities/alliance-defending-freedom/,0,0,1,0,0,0
 Alliance for America's Future,Republican,https://www.politifact.com/personalities/alliance-americas-future/,0,0,1,0,0,0
 Alliance for Retired Americans,Organization,https://www.politifact.com/personalities/alliance-retired-americans/,0,0,0,1,0,0
Colin Allred,Democrat,https://www.politifact.com/personalities/colin-allred/,0,1,0,0,0,0
Ernest Almonte,Independent,https://www.politifact.com/personalities/ernest-almonte/,0,1,0,0,1,0
Roberto Alonzo,Democrat,https://www.politifact.com/personalities/roberto-alonzo/,0,0,0,0,1,0
 AlternativePAC,None,https://www.politifact.com/personalities/alternativepac/,1,0,0,0,0,0
Thad Altman,Republican,https://www.politifact.com/personalities/thad-altman/,0,0,0,0,1,0
Carol Alvarado,Democrat,https://www.politifact.com/personalities/carol-alvarado/,0,1,0,0,0,0
 Amalgamated Transit Union,Organization,https://www.politifact.com/personalities/amalgamated-transit-union/,0,1,0,0,0,0
Justin Amash,Republican,https://www.politifact.com/personalities/justin-amash/,1,0,0,0,1,0
Jeff Amason,Libertarian,https://www.politifact.com/personalities/jeff-amason/,1,0,0,0,0,0
Oxfam America,None,https://www.politifact.com/personalities/oxfam-america/,0,1,0,0,0,0
 America First Political Committee,Organization,https://www.politifact.com/personalities/america-first-political-committee/,0,0,0,0,1,0
 American Action Network,Republican,https://www.politifact.com/personalities/american-action-network/,0,0,1,3,0,1
 American Automobile Association,None,https://www.politifact.com/personalities/american-automobile-association/,1,0,0,0,0,0
 American Beverage Association,Organization,https://www.politifact.com/personalities/american-beverage-association/,0,0,1,0,0,0
 American Bird Conservancy,None,https://www.politifact.com/personalities/american-bird-conservancy/,0,0,1,0,0,0
 American Bridge 21st Century,Democrat,https://www.politifact.com/personalities/american-bridge-21st-century/,1,3,0,2,1,0
 American Civil Liberties Union,Organization,https://www.politifact.com/personalities/american-civil-liberties-union/,0,0,0,2,0,0
 American Civil Liberties Union of Florida,None,https://www.politifact.com/personalities/aclu-florida/,0,1,1,0,1,0
 American Civil Liberties Union of New Jersey,None,https://www.politifact.com/personalities/aclu-new-jersey-aclu/,0,0,0,0,0,0
 American Commitment,None,https://www.politifact.com/personalities/american-commitment/,0,0,0,2,2,1
 American Crossroads,Republican,https://www.politifact.com/personalities/american-crossroads/,1,0,4,5,5,0
 American Energy Alliance,None,https://www.politifact.com/personalities/american-energy-alliance/,0,0,1,0,1,0
One America News,Republican,https://www.politifact.com/personalities/one-america-news/,0,0,0,1,1,2
 American Federation for Children,None,https://www.politifact.com/personalities/american-federation-children/,0,0,0,1,0,1
 American Future Fund,Organization,https://www.politifact.com/personalities/american-future-fund/,0,0,0,3,2,0
 American International Group,None,https://www.politifact.com/personalities/american-international-group/,0,1,0,0,0,0
 American Israel Public Affairs Committee,Organization,https://www.politifact.com/personalities/american-israel-public-affairs-committee/,0,0,0,0,1,0
 AmericanJournalReview.com,None,https://www.politifact.com/personalities/americanjournalreviewcom/,0,0,0,1,1,0
 American Leadership Action,Organization,https://www.politifact.com/personalities/american-leadership-action/,0,1,0,0,0,0
 American LeadHERship PAC,Organization,https://www.politifact.com/personalities/american-leadhership-pac/,0,2,1,0,0,0
 American Life League,None,https://www.politifact.com/personalities/american-life-league/,0,0,0,0,1,0
 AmericanNews.com,None,https://www.politifact.com/personalities/americannewscom/,0,0,0,0,2,2
 American Petroleum Institute,None,https://www.politifact.com/personalities/american-petroleum-institute/,1,1,0,0,0,0
 AmericanPoliticNews,None,https://www.politifact.com/personalities/americanpoliticnews/,0,0,0,0,0,1
 American Postal Workers Union,None,https://www.politifact.com/personalities/american-postal-workers-union/,0,0,1,0,0,0
 American Principles in Action,None,https://www.politifact.com/personalities/american-principles-action/,0,0,1,0,0,0
 American Principles Project,Organization,https://www.politifact.com/personalities/american-principles-project/,0,0,0,0,1,0
 American Prosperity Alliance,None,https://www.politifact.com/personalities/american-prosperity-alliance/,0,0,0,0,1,0
 Americanproud.info,None,https://www.politifact.com/personalities/americanproudinfo/,0,0,0,0,0,1
 American Revolution,None,https://www.politifact.com/personalities/american-revolution/,0,0,0,0,0,1
 Americans Against Food Taxes,None,https://www.politifact.com/personalities/americans-against-food-taxes/,1,0,0,0,0,0
 Americans for a Strong Defense,Republican,https://www.politifact.com/personalities/americans-strong-defense/,0,0,0,1,0,0
 Americans for Common Sense Solutions,None,https://www.politifact.com/personalities/americans-commonsense-solutions/,0,0,0,1,0,0
 Americans for Job Security,None,https://www.politifact.com/personalities/americans-job-security/,0,0,3,0,0,0
 Americans for Prosperity,None,https://www.politifact.com/personalities/americans-prosperity/,0,1,2,6,8,2
 Americans for Prosperity: Florida,None,https://www.politifact.com/personalities/americans-prosperity-florida/,0,0,0,2,0,1
 Americans for Prosperity Georgia chapter,None,https://www.politifact.com/personalities/americans-prosperity-georgia-chapter/,0,1,2,0,0,0
 Americans for Prosperity: New Jersey,None,https://www.politifact.com/personalities/americans-prosperity-new-jersey/,0,0,0,0,1,0
" Americans For Prosperity, North Carolina chapter",Organization,https://www.politifact.com/personalities/americans-prosperity-north-carolina-chapter/,0,0,1,0,0,0
 Americans for Responsible Solutions,None,https://www.politifact.com/personalities/americans-responsible-solutions/,0,2,1,1,0,0
 Americans for Safe Access,Organization,https://www.politifact.com/personalities/americans-safe-access/,0,0,0,1,0,0
 Americans For Tax Reform,None,https://www.politifact.com/personalities/americans-tax-reform/,0,1,1,5,0,1
 Americans United for Change,None,https://www.politifact.com/personalities/americans-united-change/,0,1,4,1,4,0
 Americans United for Life,Organization,https://www.politifact.com/personalities/americans-united-life/,0,0,0,0,1,0
 American Unity PAC,Republican,https://www.politifact.com/personalities/american-unity-pac/,0,0,0,0,1,0
 America's Health Insurance Plans,None,https://www.politifact.com/personalities/americas-health-insurance-plans/,1,0,2,0,0,0
 America's Natural Gas Alliance,None,https://www.politifact.com/personalities/american-natural-gas-alliance/,0,0,1,0,0,0
 Americas PAC,Organization,https://www.politifact.com/personalities/americas-pac/,0,0,0,0,1,0
 America Today,None,https://www.politifact.com/personalities/american-today/,0,0,0,0,0,1
 AmeriPAC,Republican,https://www.politifact.com/personalities/ameripac/,0,0,1,1,0,1
Elizabeth Ames Jones,Republican,https://www.politifact.com/personalities/elizabeth-ames-jones/,0,0,0,1,0,0
Ron Amstutz,Republican,https://www.politifact.com/personalities/ron-amstutz/,1,1,0,0,0,0
Rafael Anchia,Democrat,https://www.politifact.com/personalities/rafael-anchia/,1,0,0,0,0,0
Shirley Anderson,Republican,https://www.politifact.com/personalities/shirley-anderson/,0,0,0,1,0,0
Brian Anderson,None,https://www.politifact.com/personalities/brian-anderson/,0,1,0,0,0,0
Jimmy Anderson,Democrat,https://www.politifact.com/personalities/jimmy-anderson/,0,0,1,0,0,0
Thomas Anderson,None,https://www.politifact.com/personalities/thomas-anderson/,0,0,1,0,0,0
Allen Andrews,Republican,https://www.politifact.com/personalities/allen-andrews/,1,0,0,0,0,0
Rob Andrews,Democrat,https://www.politifact.com/personalities/rob-andrews/,0,0,0,0,1,0
Joseph Andriole,Labor leader,https://www.politifact.com/personalities/joseph-andriole/,0,1,0,0,0,0
Kathleen Angelucci,Republican,https://www.politifact.com/personalities/kathleen-angelucci/,0,0,0,1,0,0
Sharron Angle,Republican,https://www.politifact.com/personalities/sharron-angle/,1,0,1,3,1,0
Ted Ankrum,Democrat,https://www.politifact.com/personalities/ted-ankrum/,0,1,0,0,1,0
Kofi Annan,None,https://www.politifact.com/personalities/kofi-annan/,0,1,0,0,0,0
Frank Annunziato,Labor leader,https://www.politifact.com/personalities/frank-annunziato/,0,0,1,0,0,0
 Anonymous Activist,None,https://www.politifact.com/personalities/anonymous-activist/,0,1,0,0,0,0
 Anonymous Caller,None,https://www.politifact.com/personalities/anonymous-caller/,0,0,0,0,0,2
 Anonymous cyber-squatter,None,https://www.politifact.com/personalities/anonymous-cyber-squatter/,0,0,1,0,0,0
 Anonymous Flier,None,https://www.politifact.com/personalities/anonymous-flier/,0,0,0,0,1,0
 Anonymous GOP critics,Republican,https://www.politifact.com/personalities/gop-critics/,0,0,0,0,1,0
Aziz Ansari,None,https://www.politifact.com/personalities/aziz-ansari/,1,0,0,0,0,0
 Anti-Defamation League,None,https://www.politifact.com/personalities/anti-defamation-league/,0,0,1,0,0,0
 AntiNews.in,None,https://www.politifact.com/personalities/antinews/,0,0,0,0,0,2
 Antiwar.com,Organization,https://www.politifact.com/personalities/antiwarcom/,0,0,0,0,1,0
Nickie Antonio,Democrat,https://www.politifact.com/personalities/nickie-antonio/,0,0,0,1,0,0
Julaine Appling,None,https://www.politifact.com/personalities/julaine-appling/,0,0,0,0,2,0
Stephen Archambault,Democrat,https://www.politifact.com/personalities/steve-archambault/,0,1,0,0,0,1
Natalyn Archibong,None,https://www.politifact.com/personalities/natalyn-archibong/,0,0,0,0,0,0
Texans Are,Republican,https://www.politifact.com/personalities/texans-are/,0,0,0,0,1,0
Diego Arene-Morley,Activist,https://www.politifact.com/personalities/diego-arene-morley/,1,0,0,0,0,0
 Arizona Citizens Defense League,Organization,https://www.politifact.com/personalities/Arizona-Citizens-Defense-League/,0,0,1,0,1,0
 Arizona Grassroots Action PAC,None,https://www.politifact.com/personalities/arizona-grassroots-action-pac/,0,1,0,1,0,0
 Arizonans for Responsible Drug Policy,None,https://www.politifact.com/personalities/arizonans-responsible-drug-policy/,0,0,1,1,0,0
Saving Arizona PAC,Republican,https://www.politifact.com/personalities/saving-arizona-pac/,0,0,0,1,0,0
Dick Armey,Republican,https://www.politifact.com/personalities/dick-armey/,0,0,1,0,2,0
Ward Armstrong,Democrat,https://www.politifact.com/personalities/ward-armstrong/,2,0,0,0,3,1
Dave Aronberg,Democrat,https://www.politifact.com/personalities/dave-aronberg/,3,0,1,1,0,0
Dean Arp,Republican,https://www.politifact.com/personalities/dean-arp/,0,0,0,1,0,0
Joe Arpaio,Republican,https://www.politifact.com/personalities/joe-arpaio/,0,0,0,0,1,0
 AsAmericanAsApplePie.org,None,https://www.politifact.com/personalities/asamericanasapplepieorg/,0,0,0,0,0,3
Jay Ashcroft,Republican,https://www.politifact.com/personalities/jay-ashcroft/,0,0,1,0,0,0
Larry Ashley,Republican,https://www.politifact.com/personalities/larry-ashley/,0,0,0,1,0,0
Casey Askar,Republican,https://www.politifact.com/personalities/casey-askar/,0,0,0,0,0,0
Reza Aslan,None,https://www.politifact.com/personalities/reza-aslan/,0,1,0,0,0,0
Julian Assange,None,https://www.politifact.com/personalities/julian-assange/,0,0,1,0,0,0
Mark Assini,Republican,https://www.politifact.com/personalities/mark-assini/,0,0,0,0,1,0
 Associated Industries of Florida,Organization,https://www.politifact.com/personalities/associated-industries-florida/,0,0,1,0,0,1
GSU Alumni Association,None,https://www.politifact.com/personalities/gsu-alumni-association/,1,0,0,0,0,0
 Association of Mature American Citizens,Organization,https://www.politifact.com/personalities/association-mature-american-citizens/,0,0,0,0,1,1
Rob Astorino,Republican,https://www.politifact.com/personalities/rob-astorino/,0,0,1,0,2,0
Robert Astorino,Republican,https://www.politifact.com/personalities/robert-astorino/,1,0,0,0,0,0
 A Stronger Wisconsin,Democrat,https://www.politifact.com/personalities/stronger-wisconsin/,0,0,1,0,0,0
 Athens Banner-Herald,None,https://www.politifact.com/personalities/athens-banner-herald/,1,0,0,0,0,0
Joe Atkins,Democrat,https://www.politifact.com/personalities/joe-atkins/,0,0,1,0,0,0
 Atlanta Braves,None,https://www.politifact.com/personalities/atlanta-braves/,1,0,0,0,0,0
 Atlanta Journal-Constitution,None,https://www.politifact.com/personalities/atlanta-journal-constitution/,1,0,0,0,0,0
 Atlanta neighborhood association,None,https://www.politifact.com/personalities/atlanta-neighborhood-association/,1,0,0,0,0,0
 Atlanta Police Foundation,None,https://www.politifact.com/personalities/atlanta-police-foundation/,1,0,0,0,0,0
 Atlanta Sports Council,None,https://www.politifact.com/personalities/atlanta-sports-council/,0,0,0,0,1,0
Gayle Atteberry,Activist,https://www.politifact.com/personalities/gayle-atteberry/,0,0,0,1,0,0
Jeff Atwater,Republican,https://www.politifact.com/personalities/jeff-atwater/,0,1,1,0,1,0
James Aubin,Activist,https://www.politifact.com/personalities/james-aubin/,1,0,0,0,0,0
Richard August,Talk show host,https://www.politifact.com/personalities/richard-august/,1,0,0,0,0,0
Loranne Ausley,Democrat,https://www.politifact.com/personalities/loranne-ausley/,0,0,1,0,1,0
Bike Austin,None,https://www.politifact.com/personalities/bike-austin/,0,0,0,1,0,0
City of Austin,None,https://www.politifact.com/personalities/city-austin/,1,0,0,1,0,0
 Austin Board of Realtors PAC,None,https://www.politifact.com/personalities/austin-board-realtors-pac/,0,0,0,0,1,0
 Austin for a Better Future,None,https://www.politifact.com/personalities/austin-better-future/,0,0,0,0,0,1
 Austin Fund for Quality Healthcare,None,https://www.politifact.com/personalities/austin-fund-quality-healthcare/,0,1,0,0,0,0
 Austinites for Geographic Representation,None,https://www.politifact.com/personalities/austinites-geographic-representation/,1,0,0,0,0,0
 Austin Water Utility,None,https://www.politifact.com/personalities/austin-water-utility/,1,0,0,0,0,0
Texas Automobile Dealers Association,None,https://www.politifact.com/personalities/texas-automobile-dealers-association/,0,0,0,0,1,0
Brad Avakian,State official,https://www.politifact.com/personalities/brad-avakian/,0,1,0,0,1,0
David Axelrod,Democrat,https://www.politifact.com/personalities/david-axelrod/,2,7,6,2,1,0
John Axford,None,https://www.politifact.com/personalities/john-axford/,1,0,0,0,0,0
Cindy Axne,Democrat,https://www.politifact.com/personalities/cindy-axne/,1,1,1,1,0,0
 Ax The Bev Tax,None,https://www.politifact.com/personalities/ax-bev-tax/,0,0,0,0,0,1
Carla Axtman,Columnist,https://www.politifact.com/personalities/carla-axtman/,0,0,0,0,1,0
Jimmie Don Aycock,Republican,https://www.politifact.com/personalities/jimmie-don-aycock/,0,0,0,1,0,0
Kelly Ayotte,Republican,https://www.politifact.com/personalities/kelly-ayotte/,3,4,1,2,1,0
Alex Azar,Republican,https://www.politifact.com/personalities/alex-azar/,0,0,0,1,0,0
Paul Babeu,Republican,https://www.politifact.com/personalities/paul-babeu/,0,0,0,1,0,0
 Baby Got PAC,Organization,https://www.politifact.com/personalities/baby-got-pac/,0,0,1,0,0,0
 Babylon Bee,None,https://www.politifact.com/personalities/babylon-bee/,0,0,0,0,0,1
Dino Baccari,Activist,https://www.politifact.com/personalities/dino-baccari/,0,1,0,0,0,0
Michele Bachmann,Republican,https://www.politifact.com/personalities/michele-bachmann/,5,4,6,8,2,1
Spencer Bachus,Republican,https://www.politifact.com/personalities/spencer-bachus/,0,0,0,0,1,0
 Back to Basics,Democrat,https://www.politifact.com/personalities/back-basics/,0,1,1,0,2,0
Don Bacon,Republican,https://www.politifact.com/personalities/don-bacon/,0,0,1,0,0,0
Bret Baier,None,https://www.politifact.com/personalities/bret-baier/,1,0,0,0,0,0
Scott Baio,Republican,https://www.politifact.com/personalities/scott-baio/,0,0,0,0,0,0
Charlie Baird,Democrat,https://www.politifact.com/personalities/charlie-baird/,0,0,0,1,0,0
Thurbert Baker,Democrat,https://www.politifact.com/personalities/thurbert-baker/,0,0,1,0,0,0
Rick Baker,None,https://www.politifact.com/personalities/rick-baker/,1,1,1,1,1,0
Graham Balch,Democrat,https://www.politifact.com/personalities/graham-balch/,0,0,0,0,0,0
Lisa Baldelli-Hunt,Democrat,https://www.politifact.com/personalities/lisa-baldelli-hunt/,0,0,0,0,0,1
Troy Balderson,Republican,https://www.politifact.com/personalities/troy-balderson/,0,0,2,0,0,0
Chuck Baldwin,Republican,https://www.politifact.com/personalities/chuck-baldwin/,0,0,0,0,0,1
Tammy Baldwin,Democrat,https://www.politifact.com/personalities/tammy-baldwin/,9,1,1,1,7,0
Don Balfour,Republican,https://www.politifact.com/personalities/don-balfour/,1,2,0,0,0,0
Adan Ballesteros,Democrat,https://www.politifact.com/personalities/Ballesteros/,0,0,0,1,0,0
Jim Banks,Republican,https://www.politifact.com/personalities/jim-banks/,0,0,0,0,1,0
Steve Bannon,Republican,https://www.politifact.com/personalities/steve-bannon/,0,0,1,0,1,0
